NA12877	XY	# 0, G2
NA12878	XX	# 1, G2
NA12879	XX	# 2, G3
NA12881	XX	# 3, G3
NA12882	XY	# 4, G3
NA12883	XY	# 5, G3
NA12884	XY	# 6, G3
NA12885	XX	# 7, G3
NA12886	XY	# 8, G3
NA12887	XX	# 9, G3
NA12889	XY	# 10, G1
NA12890	XX	# 11, G1
NA12891	XY	# 12, G1
NA12892	XX	# 13, G1
200080	XY	# 14, G3
200082	XX	# 15, G4
200084	XY	# 16, G4
200085	XY	# 17, G4
200086	XX	# 18, G4
200087	XY	# 19, G4
200100	XX	# 20, G3
200101	XY	# 21, G4
200106	XX	# 22, G4
